Year,Month,Day,Rainfall
2013,9,13,2.8
2013,9,14,0.4
2013,9,15,0
2013,9,16,0
2013,9,17,0
2013,9,18,0
2013,9,19,0
2013,9,20,1.6
2013,9,21,0
2013,9,22,0
2013,9,23,0
2013,9,24,0
2013,9,25,0
2013,9,26,-33.3
2013,9,27,1.4
2013,9,28,6.4
2013,9,29,7.6
2013,9,30,9.4
2013,10,1,11.2
2013,10,2,8.4
2013,10,3,14.8
2013,10,4,0
2013,10,5,25.2
2013,10,6,8.4
2013,10,7,16.9
2013,10,8,13
2013,10,9,0
2013,10,10,0
2013,10,11,4.4
2013,10,12,11.8
2013,10,13,10.6
2013,10,14,9.2
2013,10,15,34.2
2013,10,16,1
2013,10,17,32.8
2013,10,18,3.4
2013,10,19,110.6
2013,10,20,4.2
2013,10,21,17.8
2013,10,22,13
2013,10,23,9.4
2013,10,24,9.6
2013,10,25,-33.3
2013,10,26,0.2
2013,10,27,2
2013,10,28,41.8
2013,10,29,-33.3
2013,10,30,1.8
2013,10,31,15.6
2013,11,1,0
2013,11,2,0
2013,11,3,2.2
2013,11,4,0
2013,11,5,0
2013,11,6,0
2013,11,7,0
2013,11,8,0.2
2013,11,9,1.4
2013,11,10,0.4
2013,11,11,6.4
2013,11,12,2
2013,11,13,22.2
2013,11,14,3
2013,11,15,0
2013,11,16,6.6
2013,11,17,0
2013,11,18,0.2
2013,11,19,2.6
2013,11,20,15.8
2013,11,21,-33.3
2013,11,22,16.2
2013,11,23,10.6
2013,11,24,-33.3
2013,11,25,21.2
2013,11,26,0
2013,11,27,0
2013,11,28,11
2013,11,29,2.6
2013,11,30,0
2013,12,1,1.2
2013,12,2,-33.3
2013,12,3,3.8
2013,12,4,8.6
2013,12,5,0
2013,12,6,0
2013,12,7,0
2013,12,8,0
2013,12,9,-33.3
2013,12,10,0.4
2013,12,11,7.8
2013,12,12,0
2013,12,13,0
2013,12,14,0
2013,12,15,52.2
2013,12,16,-33.3
2013,12,17,9.2
2013,12,18,0
2013,12,19,0
2013,12,20,0
2013,12,21,0
2013,12,22,0
2013,12,23,0
2013,12,24,0.6
2013,12,25,0
2013,12,26,0
2013,12,27,0
2013,12,28,1.4
2013,12,29,0
2013,12,30,0
2013,12,31,0
2014,1,1,0
2014,1,2,0
2014,1,3,1
2014,1,4,0
2014,1,5,0
2014,1,6,1
2014,1,7,0
2014,1,8,0
2014,1,9,6
2014,1,10,0.2
2014,1,11,0
2014,1,12,-33.3
2014,1,13,0
2014,1,14,0
2014,1,15,0
2014,1,16,0
2014,1,17,0
2014,1,18,0
2014,1,19,0
2014,1,20,0
2014,1,21,0
2014,1,22,0
2014,1,23,0
2014,1,24,0
2014,1,25,0
2014,1,26,0
2014,1,27,0
2014,1,28,0
2014,1,29,0
2014,1,30,0
2014,1,31,0
2014,2,1,0
2014,2,2,0
2014,2,3,0
2014,2,4,0
2014,2,5,0
2014,2,6,0
2014,2,7,0
2014,2,8,0
2014,2,9,0
2014,2,10,0
2014,2,11,0
2014,2,12,0
2014,2,13,0
2014,2,14,0
2014,2,15,0
2014,2,16,0
2014,2,17,0
2014,2,18,0
2014,2,19,0
2014,2,20,0
2014,2,21,0
2014,2,22,0
2014,2,23,0
2014,2,24,0
2014,2,25,0
2014,2,26,0
2014,2,27,0
2014,2,28,0
2014,3,1,0
2014,3,2,0
2014,3,3,0
2014,3,4,0
2014,3,5,0
2014,3,6,0
2014,3,7,0
2014,3,8,0
2014,3,9,0
2014,3,10,0
2014,3,11,0
2014,3,12,0
2014,3,13,0
2014,3,14,0
2014,3,15,16.6
2014,3,16,1.8
2014,3,17,-33.3
2014,3,18,0
2014,3,19,0
2014,3,20,0
2014,3,21,0
2014,3,22,0
2014,3,23,0
2014,3,24,0
2014,3,25,0
2014,3,26,0
2014,3,27,0
2014,3,28,0
2014,3,29,33.4
2014,3,30,0
2014,3,31,1
2014,4,1,0
2014,4,2,8.8
2014,4,3,9
2014,4,4,6.8
2014,4,5,2.4
2014,4,6,0
2014,4,7,11.4
2014,4,8,0
2014,4,9,-33.3
2014,4,10,0
2014,4,11,1
2014,4,12,0
2014,4,13,3.2
2014,4,14,5.2
2014,4,15,0
2014,4,16,-33.3
2014,4,17,7
2014,4,18,0
2014,4,19,0.2
2014,4,20,2.4
2014,4,21,7.8
2014,4,22,3
2014,4,23,0
2014,4,24,0
2014,4,25,-33.3
2014,4,26,30.6
2014,4,27,0
2014,4,28,1.2
2014,4,29,24.6
2014,4,30,0.4
2014,5,1,0
2014,5,2,0
2014,5,3,-33.3
2014,5,4,1
2014,5,5,42.2
2014,5,6,0
2014,5,7,36.8
2014,5,8,2.4
2014,5,9,4.6
2014,5,10,0.2
2014,5,11,0
2014,5,12,30.4
2014,5,13,6.8
2014,5,14,15.4
2014,5,15,11.4
2014,5,16,0.6
2014,5,17,0
2014,5,18,2.8
2014,5,19,0
2014,5,20,0
2014,5,21,0
2014,5,22,0
2014,5,23,0
2014,5,24,1.4
2014,5,25,2.6
2014,5,26,0.2
2014,5,27,0
2014,5,28,0.4
2014,5,29,12.2
2014,5,30,23.4
2014,5,31,1.2
2014,6,1,14.2
2014,6,2,1.4
2014,6,3,19.4
2014,6,4,15
2014,6,5,0
2014,6,6,0
2014,6,7,0
2014,6,8,0
2014,6,9,0
2014,6,10,0
2014,6,11,25.6
2014,6,12,28.2
2014,6,13,0
2014,6,14,0
2014,6,15,0
2014,6,16,0
2014,6,17,0
2014,6,18,0
2014,6,19,0
2014,6,20,0
2014,6,21,0
2014,6,22,0
2014,6,23,2
2014,6,24,0.6
2014,6,25,0
2014,6,26,0
2014,6,27,0
2014,6,28,1.6
2014,6,29,17
2014,6,30,30.2
2014,7,1,0.8
2014,7,2,0
2014,7,3,0
2014,7,4,0.2
2014,7,5,0
2014,7,6,9.6
2014,7,7,18.6
2014,7,8,3.2
2014,7,9,-33.3
2014,7,10,0
2014,7,11,0
2014,7,12,0
2014,7,13,0
2014,7,14,0
2014,7,15,3.2
2014,7,16,-33.3
2014,7,17,0
2014,7,18,0
2014,7,19,0
2014,7,20,0
2014,7,21,0
2014,7,22,5.6
2014,7,23,0
2014,7,24,-33.3
2014,7,25,3.4
2014,7,26,45
2014,7,27,0
2014,7,28,0
2014,7,29,7.8
2014,7,30,0
2014,7,31,5.6
2014,8,1,0
2014,8,2,0
2014,8,3,0
2014,8,4,1.2
2014,8,5,-33.3
2014,8,6,1.6
2014,8,7,0
2014,8,8,0
2014,8,9,1.6
2014,8,10,15.4
2014,8,11,0
2014,8,12,-33.3
2014,8,13,0
2014,8,14,10.2
2014,8,15,22.8
2014,8,16,2.2
2014,8,17,0
2014,8,18,10.6
2014,8,19,23.4
2014,8,20,1.2
2014,8,21,6.8
2014,8,22,9.6
2014,8,23,49
2014,8,24,1.4
2014,8,25,8.2
2014,8,26,24.8
2014,8,27,51.2
2014,8,28,-33.3
2014,8,29,0
2014,8,30,0
2014,8,31,0
2014,9,1,0
2014,9,2,0.6
2014,9,3,0
2014,9,4,3.2
2014,9,5,3.2
2014,9,6,7.2
2014,9,7,5.6
2014,9,8,16.4
2014,9,9,29.2
2014,9,10,0
2014,9,11,0
2014,9,12,17.8
2014,9,13,8
2014,9,14,62.8
2014,9,15,20.8
2014,9,16,0
2014,9,17,21.6
2014,9,18,0
2014,9,19,-33.3
2014,9,20,1.8
2014,9,21,0.4
2014,9,22,0
2014,9,23,78
2014,9,24,3.6
2014,9,25,19.6
2014,9,26,1
2014,9,27,0
2014,9,28,56.2
2014,9,29,7.4
2014,9,30,7.2
2014,10,1,0
2014,10,2,2.8
2014,10,3,4.8
2014,10,4,12.4
2014,10,5,43.8
2014,10,6,6.8
2014,10,7,0
2014,10,8,0
2014,10,9,0
2014,10,10,0
2014,10,11,0.8
2014,10,12,13.2
2014,10,13,3.6
2014,10,14,12
2014,10,15,2.8
2014,10,16,3.4
2014,10,17,7.4
2014,10,18,38.4
2014,10,19,1.2
2014,10,20,9.2
2014,10,21,1.6
2014,10,22,10.8
2014,10,23,2.4
2014,10,24,20.6
2014,10,25,-33.3
2014,10,26,88.6
2014,10,27,0.4
2014,10,28,7
2014,10,29,3
2014,10,30,0.4
2014,10,31,0
2014,11,1,61
2014,11,2,0
